delay,concurrency level,response time
0,1,0.046926021575927734
0,1,0.047007083892822266
0,1,0.05001997947692871
0,1,0.04907989501953125
0,1,0.048219919204711914
0,1,0.044554948806762695
0,1,0.04296588897705078
0,1,0.036592960357666016
0,1,0.04644489288330078
0,1,0.04917478561401367
0,1,0.0778970718383789
0,1,0.044692039489746094
0,1,0.04596209526062012
0,1,0.04387712478637695
0,1,0.04347515106201172
0,1,0.06508493423461914
0,1,0.04760599136352539
0,1,0.053021907806396484
0,1,0.050251007080078125
0,1,0.04473400115966797
0,1,0.06527090072631836
0,1,0.04706883430480957
0,1,0.04961109161376953
0,1,0.04937410354614258
0,1,0.04839897155761719
0,1,0.048837900161743164
0,1,0.04478597640991211
0,1,0.040862083435058594
0,1,0.04780697822570801
0,1,0.04242396354675293
0,1,0.04592108726501465
0,1,0.04884505271911621
0,1,0.043554067611694336
0,1,0.04691195487976074
0,1,0.05381608009338379
0,1,0.04185199737548828
0,1,0.04613089561462402
0,1,0.04477214813232422
0,1,0.05304217338562012
0,1,0.049612998962402344
0,1,0.04586505889892578
0,1,0.05497908592224121
0,1,0.0470278263092041
0,1,0.05189681053161621
0,1,0.04735684394836426
0,1,0.043504953384399414
0,1,0.04585886001586914
0,1,0.03846597671508789
0,1,0.04522299766540527
0,1,0.05440688133239746
0,1,0.04486989974975586
0,1,0.040930986404418945
0,1,0.04715299606323242
0,1,0.04352307319641113
0,1,0.04603910446166992
0,1,0.04988598823547363
0,1,0.04472684860229492
0,1,0.050908803939819336
0,1,0.04436802864074707
0,1,0.044751882553100586
0,1,0.04542899131774902
0,1,0.04219698905944824
0,1,0.046929121017456055
0,1,0.04711508750915527
0,1,0.04220390319824219
0,1,0.04665994644165039
0,1,0.05608415603637695
0,1,0.04585385322570801
0,1,0.03949713706970215
0,1,0.047081947326660156
0,1,0.05298805236816406
0,1,0.04578709602355957
0,1,0.043727874755859375
0,1,0.04468512535095215
0,1,0.047779083251953125
0,1,0.047422170639038086
0,1,0.04849100112915039
0,1,0.04485201835632324
0,1,0.04310894012451172
0,1,0.0434110164642334
0,1,0.04713106155395508
0,1,0.04811882972717285
0,1,0.055101871490478516
0,1,0.04470205307006836
0,1,0.041311025619506836
0,1,0.043112993240356445
0,1,0.05210709571838379
0,1,0.054080963134765625
0,1,0.04145693778991699
0,1,0.04845619201660156
0,1,0.046405792236328125
0,1,0.046256065368652344
0,1,0.04658317565917969
0,1,0.049363136291503906
0,1,0.04543185234069824
0,1,0.04291200637817383
0,1,0.047241926193237305
0,1,0.053836822509765625
0,1,0.04519200325012207
0,1,0.04348301887512207
0,1,0.04348301887512207
0,1,0.049033164978027344
0,1,0.5040810108184814
0,1,0.052104949951171875
0,1,0.056340932846069336
0,1,0.04475688934326172
0,1,0.04452085494995117
0,1,0.045918941497802734
0,1,0.050163984298706055
0,1,0.04846596717834473
0,1,0.04272317886352539
0,1,0.044000864028930664
0,1,0.04546809196472168
0,1,0.048658132553100586
0,1,0.04958701133728027
