delay,concurrency level,throughput
0,1,21.053007454859667
0.001,1,20.585065046250318
0.01,1,16.769913708774652
0,2,22.249719198552118
0.001,2,22.4762604003279
0.01,2,22.23278082030614
0,3,22.51304914781859
0.001,3,22.477013828142105
0.01,3,22.372450046257317
0,4,22.457562122319302
0.001,4,22.46783106886059
0.01,4,15.917520370790927
