delay,concurrency level,throughput
0,1,20.811907962678607
0.001,1,20.058144892654475
0.01,1,17.22318714538061
0,2,22.12644083286929
0.001,2,22.435183760577605
0.01,2,22.4458792027595
0,3,22.40263078338449
0.001,3,22.47891240676715
0.01,3,22.491789134686396
0,4,22.485730600626045
0.001,4,22.442749806708168
0.01,4,22.5420898407972
